Curated_English_Sentence_For_Grammatical_Tense_Classification_Research,Authoritative_Source_Annotated_Grammatical_Tense_Category_Past_Tense_Present_Tense_Future_Tense
She attended a ballet performance and was mesmerised by the dancers.,Past Tense
She participated in a cooking competition and won a prize.,Past Tense
She travelled to France and savoured the delectable flavours of French cuisine.,Past Tense
She volunteered at a homeless shelter and served meals to those in need.,Past Tense
The cat curled up on the windowsill and watched the rain.,Past Tense
The fire burned brightly in the fireplace.,Past Tense
The team won the soccer tournament and celebrated their victory.,Past Tense
They attended a music concert downtown.,Past Tense
They attended a wine tasting and learned about different winemaking processes.,Past Tense
They visited a historic castle and explored its winding corridors.,Past Tense
We explored a pumpkin patch and selected pumpkins for halloween.,Past Tense
We visited a pumpkin patch and selected pumpkins for halloween.,Past Tense
We went on a hiking trip and enjoyed breathtaking views.,Past Tense
He completed a novel project and built a sturdy bookshelf.,Past Tense
He completed a woodworking project and crafted a beautiful bookcase.,Past Tense
He finished a painting and proudly displayed it in his studio.,Past Tense
She attended a ballet performance last night.,Past Tense
She participated in a cooking competition and won first place.,Past Tense
She travelled to France and visited the iconic landmarks of paris.,Past Tense
She volunteered at a nursing home and spent time with the elderly residents.,Past Tense
The cat pounced on a toy mouse and played for hours.,Past Tense
The fire crackled in the fireplace.,Past Tense
The thunder rumbled ominously in the distance.,Past Tense
They attended a music festival and danced the night away.,Past Tense
They attended a wine tasting and learned about the aging process.,Past Tense
They visited a historical battlefield.,Past Tense
We explored ancient ruins in the jungle.,Past Tense
We visited a pumpkin patch and selected pumpkins for carving.,Past Tense
We went on a hiking trip and enjoyed panoramic views.,Past Tense
I will visit paris tomorrow.,Future Tense
He will finish his work.,Future Tense
We will have lunch together.,Future Tense
She will buy a car.,Future Tense
They will travel to Spain.,Future Tense
The sun will rise tomorrow.,Future Tense
I will learn French soon.,Future Tense
He will commence a business.,Future Tense
We will meet next week.,Future Tense
She will write a book.,Future Tense
They will graduate next year.,Future Tense
The train will arrive soon.,Future Tense
I will cook dinner tonight.,Future Tense
He will find a job.,Future Tense
We will go to the beach.,Future Tense
I will win the exam.,Future Tense
They will obtain married soon.,Future Tense
The flowers will bloom soon.,Future Tense
I will run a marathon.,Future Tense
He will become a doctor.,Future Tense
We will go shopping tomorrow.,Future Tense
She will adopt a pet.,Future Tense
They will move to a new city.,Future Tense
The project will be completed.,Future Tense
I will take a vacation.,Future Tense
He will commence a family.,Future Tense
We will attend a concert.,Future Tense
She will become a teacher.,Future Tense
They will buy a house.,Future Tense
The movie will be released.,Future Tense
I will learn to play piano.,Future Tense
He will win the game.,Future Tense
We will go on a trip.,Future Tense
She will become a chef.,Future Tense
They will have a baby.,Future Tense
The company will expand.,Future Tense
I will finish my degree.,Future Tense
He will learn a new language.,Future Tense
We will have a party.,Future Tense
She will commence a blog.,Future Tense
They will commence a business.,Future Tense
The rain will stop soon.,Future Tense
I will go for a run.,Future Tense
He will buy a new computer.,Future Tense
We will take a vacation.,Future Tense
She will commence a new job.,Future Tense
They will go to the beach.,Future Tense
The sun will set soon.,Future Tense
I will buy a new car.,Future Tense
I will be playing cricket.,Future Tense
I will be a hero.,Future Tense
She will obtain a promotion.,Future Tense
They will move to a new house.,Future Tense
The concert will be amazing.,Future Tense
I will commence a new project.,Future Tense
He will learn to cook.,Future Tense
We will go to a concert.,Future Tense
She will commence a new hobby.,Future Tense
They will go on a road trip.,Future Tense
The weather will be nice.,Future Tense
I will take a photography class.,Future Tense
They will excel in careers.,Future Tense
Future job prospects favour bangladeshis.,Future Tense
He will be getting a new car next year.,Future Tense
She will be getting married in two years.,Future Tense
We will be moving to a new house in three months.,Future Tense
They will be having a baby in six months.,Future Tense
Shell write the email after lunch.,Future Tense
Do not lift that youll hurt yourself.,Future Tense
Ill see you tomorrow.,Future Tense
Youll get the answer by post.,Future Tense
Ill drive you to your lesson at 4 pm.,Future Tense
I will be going to the store later.,Future Tense
She will be finishing her homework soon.,Future Tense
They will be taking a trip next week.,Future Tense
We will be having a party tomorrow night.,Future Tense
I will be graduating from college next month.,Future Tense
I will go to the store later.,Future Tense
She is going to meet her friends for lunch tomorrow.,Future Tense
We will be leaving for our vacation next week.,Future Tense
He is going to start his new job on monday.,Future Tense
They are going to get married next year.,Future Tense
I am going to have a baby in september.,Future Tense
We will not go to the theatre.,Future Tense
I will not go to the cemetery.,Future Tense
I will stay at home at the weekend.,Future Tense
He will call me tomorrow.,Future Tense
Hyperloop transportation systems will enable rapid travel between major cities reducing journey times significantly.,Future Tense
Mark will fix my car.,Future Tense
It will not be very cold next week.,Future Tense
He will not drink tea.,Future Tense
Their future in jobs is bright.,Future Tense
